state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
AK,Anchorage CoC,AK-500,"$3,982,876.00",Other Largely Urban CoC,961,855,89%,60,32,83,40,21,7,8,9,33%,38%,43%,414,66,83,101,16%,20%,24%,182,21,26,30,12%,14%,16%,0,0,0,0,NA,NA,NA,222,13,50,63,6%,23%,28%,839,107,167,203,13%,20%,24%,4502,145,7,5%,98,68%,98,68%,55,7,13%,17,31%,23,42%,2375,2480,418,42,32,18%,3712,641,17%,500,468,94%,3626,2782,77%,353,5,1%,98,18,18%,271,45,17%,491,241,49%
AK,Alaska Balance of State CoC,AK-501,"$879,834.00",Largely Rural CoC,525,478,91%,44,14,68,20,12,1,1,1,8%,8%,8%,426,92,136,170,22%,32%,40%,227,16,30,36,7%,13%,16%,0,0,0,0,NA,NA,NA,196,8,12,20,4%,6%,10%,861,117,179,227,14%,21%,26%,2241,54,0,0%,11,20%,11,20%,47,9,19%,15,32%,22,47%,1358,1477,116,8,12,17%,2009,486,24%,186,172,92%,1816,1082,60%,268,34,13%,89,0,0%,155,5,3%,130,15,12%
AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,"$9,388,061.00",Largely Suburban CoC,727,580,80%,57,18,74,20,36,6,10,14,17%,28%,39%,570,72,122,170,13%,21%,30%,54,13,14,17,24%,26%,31%,15,5,6,6,33%,40%,40%,274,17,33,40,6%,12%,15%,949,113,185,247,12%,19%,26%,3667,682,95,14%,235,34%,294,43%,350,44,13%,59,17%,97,28%,2351,2642,446,76,60,30%,3146,706,22%,1267,1225,97%,3232,906,28%,124,2,2%,263,0,0%,383,0,0%,280,25,9%
AL,Mobile City & County/Baldwin County CoC,AL-501,"$3,902,469.00",Other Largely Urban CoC,311,291,94%,39,15,65,20,9,1,1,3,11%,11%,33%,144,5,5,5,3%,3%,3%,83,0,0,1,0%,0%,1%,0,0,0,0,NA,NA,NA,186,17,24,30,9%,13%,16%,422,23,30,39,5%,7%,9%,2218,126,4,3%,50,40%,52,41%,81,9,11%,25,31%,32,40%,1580,1764,45,0,12,27%,2121,357,17%,187,180,96%,2044,41,2%,139,3,2%,38,4,11%,286,12,4%,47,22,47%
AL,Florence/Northwest Alabama CoC,AL-502,"$438,282.00",Largely Rural CoC,121,0,0%,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,179,481,4,1%,4,1%,6,1%,136,4,3%,6,4%,6,4%,0,14,0,0,0,NA,56,49,88%,18,10,56%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
AL,Huntsville/North Alabama CoC,AL-503,"$711,592.00",Other Largely Urban CoC,489,182,37%,57,21,61,21,22,0,1,4,0%,5%,18%,159,22,27,31,14%,17%,19%,20,2,3,6,10%,15%,30%,0,0,0,0,NA,NA,NA,107,1,2,6,1%,2%,6%,308,25,33,47,8%,11%,15%,1032,28,0,0%,2,7%,2,7%,10,0,0%,2,20%,2,20%,832,907,51,1,10,22%,933,289,31%,106,102,96%,1008,755,75%,29,1,3%,10,0,0%,95,0,0%,38,21,55%
AL,Montgomery City & County CoC,AL-504,"$1,176,724.00",Other Largely Urban CoC,296,296,100%,114,29,135,30,13,0,0,1,0%,0%,8%,192,22,25,35,11%,13%,18%,9,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,123,8,9,12,7%,7%,10%,337,30,34,48,9%,10%,14%,905,104,1,1%,7,7%,8,8%,10,0,0%,5,50%,5,50%,602,629,18,17,0,94%,772,124,16%,91,88,97%,806,56,7%,18,13,72%,8,1,13%,3,0,0%,0,0,NA
AL,Tuscaloosa City & County CoC,AL-506,"$199,669.00",Other Largely Urban CoC,83,83,100%,78,36,124,41,0,0,0,0,NA,NA,NA,24,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,6,0,0,1,0%,0%,17%,30,0,0,1,0%,0%,3%,223,23,2,9%,2,9%,4,17%,28,2,7%,7,25%,9,32%,167,206,0,0,0,NA,223,37,17%,145,141,97%,202,75,37%,29,8,28%,7,4,57%,34,3,9%,0,0,NA
AL,Alabama Balance of State CoC,AL-507,"$1,441,654.00",Largely Rural CoC,98,37,38%,0,0,506,481,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,1,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,16,0,0,0,0%,0%,0%,17,0,0,0,0%,0%,0%,86,40,0,0%,8,20%,8,20%,27,3,11%,13,48%,16,59%,22,160,0,0,0,NA,21,14,67%,71,68,96%,0,0,NA,16,0,0%,29,0,0%,4,0,0%,0,0,NA
AR,Little Rock/Central Arkansas CoC,AR-500,"$3,027,153.00",Other Largely Urban CoC,525,325,62%,56,24,113,39,0,0,0,0,NA,NA,NA,391,34,55,80,9%,14%,20%,127,7,10,29,6%,8%,23%,0,0,0,0,NA,NA,NA,142,5,8,19,4%,6%,13%,660,46,73,128,7%,11%,19%,1264,304,5,2%,16,5%,18,6%,89,53,60%,11,12%,60,67%,916,1128,274,122,19,51%,1195,463,39%,489,473,97%,1007,399,40%,446,214,48%,56,5,9%,377,98,26%,325,0,0%
